sys_id,sys_code,main_id,ids,otype_txt,otype_shortname,otype_longname,otypes,Average of ra,Average of dec,Average of dist
21,,IRAS 18090-2608             ,IRAS 18090-2608|2MASS J18121245-2608024|OGLE BLG-LPV-225466|Gaia DR2 4064714550310189440                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Mi*    ,Mi*          ,Variable Star of Mira Cet type ,IR |Mi*|*                                                                              ,273.0517362,-26.1340091,3.5437
22,,NAME Teegarden's Star       ,NAME Teegarden's Star|Karmn J02530+168|GAT 1370|LSPM J0253+1652|2MASS J02530084+1652532|FBS L 14-17|FBS 0250+167|NAME SO J025300.5+165258|NAME APM EO0425-0315372|NAME Teegarden's star|USNO-B1.0 1068-00028941|USNO-A2.0 1050-00774305|WISEP J025303.27+165214.2|PM J02530+1652|WISEA J025303.34+165213.2|Gaia DR2 35227046884571776                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,LM*    ,LM*          ,Low-mass star (M<1solMass)     ,IR |*  |PM*|PM*|PM*|PM*|LM*|*                                                          ,43.25371387,16.88128947,3.557066667
23,,V* GX And                   ,Karmn J00183+440|PM J00183+4401|ASCC  373571|2MASS J00182256+4401222|LSPM J0018+4401W|USNO-B1.0 1340-00005988|PLX   49|8pc 280.27A|AC2000 1406215|ADS   246 A|AG+43   37|BD+43    44|CCDM J00184+4401A|CSI+43    44  4|CSI+43    44  1|Ci 20   19|DO 23070|G 171-47|GAT 1029|GC   358|GCRV   161|GEN# +1.10001326|GJ    15 A|Gmb   34|HIC   1475|HIP   1475|JP11   170|JP11   360|LFT   31|LHS     3|LTT 10108|MCC  85|NLTT   919|PM 00155+4344|PPM  42798|SAO  36248|SV* SVS  2042|TYC 2794-157-1|UBV     205|UBV     207|USNO 787|V* GX And|VVO 124|Zkh   5|[GKL99]   9|[GS83]  66|[RHG95]    60|WDS J00184+4401A|Gaia DR2 385334230892516480|** GRB   34A|HD   1326|AKARI-IRC-V1 J0018248+440125|WISE J001825.71+440126.8|WISEA J001825.70+440126.9|StKM 2-24a|UCAC4 671-001465|Gaia DR1 385334123516493568|WEB   265                                                                                                                                                                                                                                                        ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|V* |PM*|EB*|Fl*|PM*|*  |IR |*                                                      ,4.595354028,44.0229548,3.5626
24,,** GRB   34AB               ,ADS   246 AB|WDS J00184+4401AB|IDS 00127+4327|uvby98 100001326 ABV|** GRB   34AB|1RXS J001821.8+440129|1E 0015.6+4344|GEN# +1.00001326J|2E    55|2E 0015.7+4343|IRAS 00156+4344                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,**     ,**           ,Double or multiple star        ,** |*  |X  |IR                                                                         ,4.595416667,44.02305556,3.568
25,,G  51-15                    ,Karmn J08298+267|PLX 2016.0|LSPM J0829+2646|UCAC2  41191231|2MASS J08294949+2646348|USNO-B1.0 1167-00167383|8pc 275.80|G  51-15|GEN# +9.80051015|GJ  1111|JP11  5934|JP11  5935|LHS   248|LTT 18058|NLTT 19635|PM 08269+2657|USNO 311|V* DX Cnc|Zkh 118|[GKL99] 181|[RHG95]  1326|PLX 2016.01|UCAC4 584-042341|PM J08298+2646|Gaia DR2 703790044252850688                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|V* |IR |*  |PM*|PM*|Fl*|PM*|*                                                      ,127.4556368,26.77600744,3.5805
26,,* eps Ind B                 ,"V* CI Ind|* eps Ind B|2MASS J22041052-5646577|GJ   845 B|[B2006] J220410.5-564657|WDS J22034-5647Ba,Bb|WISEP J220415.66-564723.5|** VLK    1|WDS J22034-5647B|** SOZ    1B|GJ   845 C|WISEA J220415.75-564724.4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,BD*|IR |V* |Rad|** |PM*|** |*  |PM*                                                    ,331.0438333,-56.78269444,3.6
27,,* tau Cet                   ,2MASS J01440402-1556141|PLX  365|* tau Cet|*  52 Cet|8pc 274.17|BD-16   295|CCDM J01441-1557A|CSI-16   295  1|Ci 20  124|FK5   59|GC  2123|GCRV   979|GEN# +1.00010700|GJ    71.0|GJ    71|HD  10700|HIC   8102|HIP   8102|HR   509|IDS 01394-1628 A|IRAS 01416-1611|IRC -20018|JP11   535|LFT  159|LHS   146|LPM  84|LTT   935|N30  359|NLTT  5787|PM 01417-1612|PMC 90-93    41|PPM 210580|RAFGL 4135S|ROT   249|SACS  31|SAO 147986|SKY#  2598|SPOCS   96|TD1   997|UBV    1769|UBV M   8397|YZ 106   431|Zkh  33|uvby98 100010700|PLX  365.00|1RXS J014404.7-155632|WDS J01441-1556A|Gaia DR2 2452378776434276992|TYC 5855-2292-1|WEB  1733                                                                                                                                                                                                                                                                                                                                                                                                                                 ,PM*    ,PM*          ,High proper-motion Star        ,PM*|** |IR |UV |X  |*  |Ro*                                                            ,26.01701426,-15.9374796,3.6033
28,,* eps Ind                   ,PLX 5314|* eps Ind|2E  4554|AC2000 4384302|CD-57  8464|CPC 20  6944|CPD-57 10015|Ci 20 1330|FK5  825|GC 30817|GCRV 13838|GEN# +1.00209100|GJ   845|GJ   845 A|HD 209100|HIC 108870|HIP 108870|HR  8387|JP11  3425|LFT 1677|LHS    67|LPM 805|LTT  8813|N30 4855|NLTT 52724|PM 21596-5700|PPM 349918|RBS  1817|SACS 480|SAO 247287|SKY# 42020|TD1 28679|UBV M  26050|UBV   18808|UGP 544|Zkh 326|2MASS J22032156-5647093|PLX 5314.00|1RXS J220318.1-564650|2E 2159.7-5701|RX J2203.2-5646|IRAS 21598-5700|TYC 8817-984-1|** SOZ    1A|WDS J22034-5647A|WISEA J220326.69-564735.5|uvby98 100209100|WEB 19578|Gaia DR2 6412595290592307840                                                                                                                                                                                                                                                                                                                                                                                                                                         ,PM*    ,PM*          ,High proper-motion Star        ,PM*|UV |X  |IR |PM*|** |*  |PM*|*                                                      ,330.840226,-56.78598251,3.6389
29,,L  372-58                   ,NLTT 11388|PM J03359-4430|APMPM J0336-4431|GEN# +9.85995046|GJ  1061|L  372-58|LFT  295|LHS  1565|LP  995-46|LTT  1702|Zkh  52|[RHG95]   642|[SII2000] 122|2MASS J03355969-4430453|PM 03342-4440|WISEA J033600.43-443049.7|GCRV 26222|Gaia DR2 4848140361962951552                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,PM*    ,PM*          ,High proper-motion Star        ,PM*|*  |IR |*  |PM*|PM*                                                                ,53.99874864,-44.51270146,3.6732
30,,HIP  82724                  ,** HDS 2393B|Gaia DR2 5818211949014482816|CCDM J16545-6224A|HIC  82724|HIP  82724|TYC 9043-213-1|GSC 09043-00213|2MASS J16543221-6224011|UCAC3 56-385876                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,*      ,*            ,Star                           ,** |*  |IR |PM*                                                                        ,253.6341115,-62.40035406,3.7
31,,V* GQ And                   ,Karmn J00184+440|ASCC  373580|2MASS J00182549+4401376|8pc 280.27B|ADS   246 B|BD+43    44B|CCDM J00184+4401B|CSI+43    44  3|G 171-48|GCRV   162|GEN# +1.00001326C|GJ    15 B|HD   1326B|JP11   171|LFT   32|LHS     4|LTT 10109|NLTT   923|PM 00156+4345|SV* SVS  1804|V* GQ And|Zkh   6|[GKL99]  10|[GS83]  69|[RHG95]    61|LSPM J0018+4401E|WDS J00184+4401B|Gaia DR2 385334196532776576|** GRB   34B|PM J00184+4401|WISEA J001828.65+440141.3|StKM 2-24b|WEB   266                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|V* |*  |PM*|IR |Fl*|PM*|*                                                          ,4.607601869,44.02724757,3.7807
